model,class,precision,recall,f1
faster_rcnn,Car,0.8963343838115774,0.9176430633384276,0.9068635677127035
faster_rcnn,Van,0.8,0.9333333333333333,0.8615384615384616
faster_rcnn,Truck,0.8571428571428571,0.9779735682819384,0.9135802469135802
faster_rcnn,Pedestrian,0.7021063189568706,0.7641921397379913,0.7318348144276006
faster_rcnn,Cyclist,0.6309226932668329,0.8214285714285714,0.7136812411847672
faster_rcnn,Misc,0.7804878048780488,0.8556149732620321,0.8163265306122449
ssd,Car,0.9329477292202228,0.739514348785872,0.8250449938429478
ssd,Van,0.943609022556391,0.44035087719298244,0.6004784688995215
ssd,Truck,0.927536231884058,0.5638766519823789,0.7013698630136986
ssd,Pedestrian,0.8175895765472313,0.2740174672489083,0.410466067048242
ssd,Cyclist,0.890625,0.18506493506493507,0.3064516129032258
ssd,Misc,0.8723404255319149,0.2192513368983957,0.3504273504273504
retinanet,Car,0.852094009542322,0.8188147393445406,0.835122965015587
retinanet,Van,0.7260726072607261,0.7719298245614035,0.7482993197278911
retinanet,Truck,0.9333333333333333,0.801762114537445,0.8625592417061612
retinanet,Pedestrian,0.7447405329593267,0.5796943231441049,0.6519337016574586
retinanet,Cyclist,0.7831858407079646,0.5746753246753247,0.6629213483146067
retinanet,Misc,0.8846153846153846,0.4919786096256685,0.6323024054982818
detr,Car,0.4761551995555144,0.8731533367294957,0.6162511984659635
detr,Van,0.5006435006435006,0.6824561403508772,0.5775798069784707
detr,Truck,0.6012269938650306,0.8634361233480177,0.7088607594936709
detr,Pedestrian,0.3271353864032539,0.6146288209606987,0.42700037921880923
detr,Cyclist,0.3833718244803695,0.538961038961039,0.44804318488529016
detr,Misc,0.22810590631364563,0.5989304812834224,0.33038348082595864
yolo,Car,0.9477173707141504,0.8495500084904059,0.8959527220630372
yolo,Van,0.9050505050505051,0.7859649122807018,0.8413145539906103
yolo,Truck,0.9804878048780488,0.8854625550660793,0.9305555555555556
yolo,Pedestrian,0.9364485981308411,0.5469432314410481,0.6905582356995176
yolo,Cyclist,0.9406392694063926,0.6688311688311688,0.7817836812144213
yolo,Misc,0.8979591836734694,0.7058823529411765,0.7904191616766467
